Language,Mean (ms),Std Dev (ms),Median (ms),Min (ms),Max (ms),Valid Runs,CV (%),CI Lower (ms),CI Upper (ms),CI Width (ms),Rank,Relative Speed,Speed Factor
julia,1.9636216799999997,6.47720621673971,0.611459,0.46075,33.011833,25,329.8601906218367,-0.7100376388194332,4.637280998819433,5.347318637638866,1,1.0,1.00x
java,3.8389934000000006,0.556763507600624,3.847708,2.844167,5.375791,25,14.502851388091054,3.6091727194992207,4.068814080500781,0.45964136100156017,2,1.9550575546711224,1.96x
fsharp,3.9025480000000003,1.787060735798684,3.4041,2.7899,11.0204,25,45.79215260897967,3.164885583568637,4.640210416431364,1.4753248328627269,3,1.9874235652154753,1.99x
pypy,4.846572875976398,4.057247782343871,3.89194488525,3.29613685608,23.973941803,25,83.71374755252167,3.1718233035467995,6.521322448405996,3.349499144859197,4,2.468180569271571,2.47x
typescript,5.555850199999998,1.4767826437275742,5.0020000000000024,3.888083999999992,9.582333999999998,25,26.580677854265666,4.946264285154685,6.165436114845312,1.2191718296906267,5,2.829389314951951,2.83x
csharp,8.880759999999999,3.0208552658973917,8.1623,6.7312,20.6477,25,34.01572912563105,7.633812232365587,10.12770776763441,2.4938955352688232,6,4.522643078579169,4.52x
clojure,12.45947824,5.192097108749469,11.795417,7.744291,34.640667,25,41.6718662590599,10.316285889083792,14.602670590916206,4.286384701832414,7,6.345152106896681,6.35x
swift,15.250158309936523,3.061170457075185,14.663934707641602,12.215971946716309,27.08101272583008,25,20.07304052103264,13.98656924928539,16.513747370587655,2.5271781213022653,8,7.766342399487321,7.77x
python,18.388698438648134,1.6442176981388679,18.50004098378122,14.908084005583078,20.995792001485825,25,8.941457730815582,17.709998730209705,19.067398147086564,1.3573994168768593,9,9.364684972641031,9.36x
elixir,22.44,2.6312227829154518,22.0,17.0,29.0,25,11.725591724222156,21.353884616603587,23.526115383396416,2.172230766792829,10,11.42786323279951,11.43x
elixir,23.0,2.516611478423583,22.0,20.0,29.0,25,10.941789036624275,21.961193837901,24.038806162099,2.0776123241980002,11,11.713050550552081,11.71x
